domain_id	substrates	type	source	split
CAD91212.1.A3|Q7WZ74.A3|BGC0000289-dbv17-A3-(tyr)	['tyrosine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
bokeelamide-bkaN-4|bokeelamide-bkaO-1	['serine']	bacterial	['benchmark', 'nrpstransformer_benchmark']	benchmark
BGC0001045-spiA1(cys)	['cysteine']	bacterial	['nrpstransformer_s1']	train
BGC0001117-hmtL2(leu)|CBZ42146.1.A2	['leucine', 'l-threonine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
dilarmycin-dilK2(thr)	['l-threonine']	bacterial	['nrpstransformer_s1']	train
BGC0001207-Txo2-M2(thr)|AJF34464.1.A2	['l-threonine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001575-1(Pyrazinoic-acid)|WP_008704344.1.A1|WP_020993844.1.A1	['tyrosine', '2-amino-3-methylpentanoic acid', 'leucine', 'valine', 'l-phenylalanine', '2-pyrazinecarboxylic acid', 'tryptophan']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
AAU39359.1.A3|AAU22002.1.A3|BGC0000381-lchaA3(leu)	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001022-mxaA(ala)|AAK57184.1.A1	['alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
ADC79642.1.A1|BGC0001052-TamD(ala)|D3Y1I8.A1	['glycine', 'alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000344-PSEEN3045-etlB6(leu/ile)|CAK15815.1.A6	['leucine', '2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0000398-ofaC1(leu)|AFH75330.1.A1	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
CAD92850.1.A3|BGC0000367mod-lgrB3(ala)	['valine', 'alanine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
AGM14925.1.A1|BGC0000463-xtlA1(leu)	['leucine']	bacterial	['parasect', 'nrpstransformer_s1']	train
AXG47411.1.A1|WP_011146563.1.A1	['cysteine']	bacterial	['parasect', 'add_db']	train
BGC0001878-detF(phe)	['l-phenylalanine']	bacterial	['nrpstransformer_s1']	train
BAH31686-2(ser)	['serine']	bacterial	['nrpstransformer_s1']	train
BGC0001228-B110_RS0125720-M1(thr)|WP_080679150.1.A1|WP_028678149.1.A1	['l-threonine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0001532-BogB2(orn)|ATY37589.1.A2	['ornithine', 'l-lysine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
KPN90376.1.A7|BGC0001416-nunC7(24Dab)	['2,4-diaminobutyric acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
ACVS_AMYLA(aad)|CAA40561.1.A1|P27743.A1	['2-aminoadipic acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
APU91750.1.A2|BGC0001806-TolA2(pro)	['proline']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000315-cdaPS1-M3(Trp)|Q9Z4X6.A3|CAB38518.1.A3	['tryptophan']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0000435-syfB1(leu)|AAO56329.1.A1	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
CDF96614.1.A2|BGC0001149-bra2(pro)	['proline']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
CAJ18237.2.A1|BGC0000354-pstB1(asn/asp)	['asparagine', 'aspartic acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
EWS95124.1.A1|BGC0000306-AryD1(Gly)	['glycine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
chitinopeptin-NRPS4-3(leu)	['leucine']	bacterial	['nrpstransformer_s1']	train
AAP09268.1.A1	['2,3-dihydroxybenzoic acid']	bacterial	['add_db']	train
BAH43766.1.A6|BGC0000452-tycC6(leu)	['leucine', 'tyrosine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001980-lokC2(ser)|QDF82259.1.A2	['serine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
O52819.A2|CAA11794.1.A2|O52819_AMYOR2(tyr)	['tyrosine', 'beta-hydroxytyrosine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001748-spuB3(arg)|ATP76246.1.A3	['arginine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0002503-chmA1(phe)	['l-phenylalanine']	bacterial	['nrpstransformer_s1']	train
BGC0000329-crpC9(Ile)	['2-amino-3-methylpentanoic acid']	bacterial	['nrpstransformer_s1']	train
AGM14925.1.A2|BGC0000463-xtlA2(glu)	['glutamic acid']	bacterial	['parasect', 'nrpstransformer_s1']	train
AHI59109.1.A3|BGC0001005-locB3(gly)	['glycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001763-rufT7(trans-2-crotylglycine)|BBA20967.1.A7|ASX95241.1.A7	['trans-2-crotylglycine[unverified]', '2s-amino-4-hexenoic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
stendomycin-nrps3-3(ser)	['serine']	bacterial	['nrpstransformer_s1']	train
CAA11794.1.A1|O52819_AMYOR(leu)|O52819.A1	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0002352-terT(salicylate)	['salicylic acid']	bacterial	['nrpstransformer_s1']	train
WP_011146892.1.A10|BGC0001641-koI10(leu)	['leucine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
viennamycin-vieJ-1(asn)	['asparagine']	bacterial	['nrpstransformer_s1']	train
AAM38759.1.A1|Q8PFQ6.A1	['glycine']	bacterial	['parasect', 'add_db']	train
BGC0001754-rmyB1(Val)|CAD17793.1.A1	['valine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
APZ78680.1.A1|BGC0001417-mchC1(leu)	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0002572A-lxaC2(thr)	['l-threonine']	bacterial	['nrpstransformer_s1']	train
BGC0002123-pppB-2(pro)|QUS58938.1.A2	['proline']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0000397-ncpB4(Leu/phe)|AAO23334.1.A4	['leucine', 'l-phenylalanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000411-psoA1(leu)|ABW17375.1.A1	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000458-vioA2(ser)|AAP92491.1.A2	['serine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
Q9R9I9.1.A1|BGC0001103-mycC1(ser)|AAF08797.1.A1	['serine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
DAB41484.1.A1|BGC0001230-sln14(thr)	['l-threonine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0000413-pvdL1(succinic-acid)	['succinic acid']	bacterial	['nrpstransformer_s1']	train
BGC0001389-CipC1(thr)|AHZ34240.1.A1	['l-threonine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000380-leuE(pro)|ADZ24999.1.A1	['proline']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AAX16327.1.A1|Q5DIS7_PSEAE(ser)	['serine']	bacterial	['parasect', 'nrpstransformer_s1']	train
BGC0000141-rubC1-2(tyr)|CAI94718.1.A2	['tyrosine']	bacterial	['parasect', 'nrpstransformer_s1']	train
BGC0001807-TotB2(23dab)|ATL73045.1.A1	['2,3-diaminobutyric acid', 'glycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000303-ABW71853.1(APDpro//Dehydroproline-Acrylamide)	['dehydroproline acrylamide*']	bacterial	['nrpstransformer_s1']	train
BGC0001532-BogC2(ile/val)|ATY37590.1.A2	['valine', '2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AAG05787.1.A2|AAB60198.1.A2|Q51338.A2|Q9I182.A2|Q51338_PSEAE2(thr)	['l-threonine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
APZ78768.1.A2|BGC0001425-mchB2(ala)	['alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000389-massB3(leu)|ABH06368.2.A3	['leucine']	bacterial	['parasect', 'nrpstransformer_s1']	train
AVI26390.1.A1|BGC0001800-tnaC1(ser)	['serine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000326-comB1(Hpg)|AAK81825.1.A1|Q93N88.A1	['4-hydroxyphenylglycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001628-NRPS6-1(gly)|BAX90000.1.A1	['glycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
WP_011146562.1.A1|AXG47410.1.A1	['cysteine']	bacterial	['parasect', 'add_db']	train
BGC0001413-cysK1(PABA/PNBA):para-nitrobenzoic-acid|AKP45399.1.A1|BGC0001413-cysK4(PABA)|AKP45399.2.A2|AKP45399.1.A4	['4-aminobenzoic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
Q45295_BACLI(gln)|Q45295.A1|CAA06323.1.A1	['glutamine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000305-arfC5(Asp)|Q84BQ4.A5|BAC67536.1.A5	['aspartic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
kineomicin-knmD-1	['3,5-dihydroxyphenylglycine']	bacterial	['benchmark', 'nrpstransformer_benchmark']	benchmark
BGC0001672-FlavM3a-1(orn)	['ornithine']	bacterial	['nrpstransformer_s1']	train
APZ78716.1.A3	['glutamine', 'alanine']	bacterial	['parasect', 'add_db']	train
BGC0000329-crpB1(val)	['valine']	bacterial	['nrpstransformer_s1']	train
streptocidine-nrpsC-6(leu)	['leucine']	bacterial	['nrpstransformer_s1']	train
WP_051700111.1.A1|WP_078857610.1.A1|BGC0001368-TbrM(2MeSer)	['2-methylserine', 'l-lysine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
lenziamide-lenG1(ala)	['alanine']	bacterial	['nrpstransformer_s1']	train
BGC0002314-crbN1(hpg)|AZM57022.1.A1	['4-hydroxyphenylglycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
ADA82585.1.A1|BGC0001110-psyD(gly)	['glycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AGM16414.1.A3|BGC0000400-pbtC3(Ile)	['2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
glidonin-gdnB9(ala)	['alanine']	bacterial	['nrpstransformer_s1']	train
BGC0001090-bmyA1(FA)	['fatty acid']	bacterial	['nrpstransformer_s1']	train
BGC0002419-nrpsA1(FA//c4OH)	['fatty acid']	bacterial	['nrpstransformer_s1']	train
BGC0002572A-lxaC6(leu)	['leucine']	bacterial	['nrpstransformer_s1']	train
BGC0000402-ERIC2_c18750-M2(ser)|AHD05677.1.A2	['serine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AAC80285.1.A8|O85168.A8|AF047828.1.A8	['aspartic acid']	bacterial	['parasect', 'add_db']	train
BGC0000449-triD2(24Dab):-2,4-diaminobutyrate|AHF21228.1.A2	['2,4-diaminobutyric acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
APU91750.1.A12|BGC0001806-TolA12(val)	['valine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
QEO75075.1.A4	['beta-methyl-asparagine', '6-chloro-l-tryptophan']	bacterial	['parasect', 'add_db']	train
Ga0173608_111474.A4|kahalalideA-NRPS10-4(phe)	['l-phenylalanine']	bacterial	['parasect', 'nrpstransformer_s1']	train
AHF21229.1.A1	['valine']	bacterial	['parasect', 'add_db']	train
